(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python isic2019_vit_bct_mlp_ablation.py
=== [ISIC 2019] VI+BCT+MLP ABLATION STUDY STARTING ===
>> ISIC 2019 dataset is already prepared at './data/ISIC2019'. Skipping download.
>> Computed Class Weights for 8 classes: tensor([ 3.6499,  0.9530,  1.2068, 13.2618,  0.7001,  0.2459,  5.0458, 12.5396])

[ISIC 2019] Baseline ViT + MLP (Run 1/5)
    Epoch [02/20] | Train Loss: 0.9377 | Val Acc: 64.12% | Macro F1: 0.5141 | Prec: 0.4714 | Rec: 0.6703
    Epoch [03/20] | Train Loss: 0.7563 | Val Acc: 66.15% | Macro F1: 0.5772 | Prec: 0.5679 | Rec: 0.6730
    Epoch [04/20] | Train Loss: 0.5880 | Val Acc: 75.43% | Macro F1: 0.6532 | Prec: 0.6242 | Rec: 0.7087
    Epoch [05/20] | Train Loss: 0.4767 | Val Acc: 75.88% | Macro F1: 0.6783 | Prec: 0.6394 | Rec: 0.7504
    Epoch [06/20] | Train Loss: 0.3697 | Val Acc: 73.71% | Macro F1: 0.6805 | Prec: 0.6616 | Rec: 0.7208
    Epoch [07/20] | Train Loss: 0.3166 | Val Acc: 75.00% | Macro F1: 0.7014 | Prec: 0.6687 | Rec: 0.7600
    Epoch [08/20] | Train Loss: 0.2555 | Val Acc: 75.59% | Macro F1: 0.7038 | Prec: 0.6770 | Rec: 0.7575
    Epoch [09/20] | Train Loss: 0.2186 | Val Acc: 79.79% | Macro F1: 0.7453 | Prec: 0.7705 | Rec: 0.7347
    Epoch [10/20] | Train Loss: 0.1938 | Val Acc: 78.63% | Macro F1: 0.7508 | Prec: 0.7466 | Rec: 0.7599
    Epoch [11/20] | Train Loss: 0.2086 | Val Acc: 76.49% | Macro F1: 0.6742 | Prec: 0.6444 | Rec: 0.7640
    Epoch [12/20] | Train Loss: 0.1220 | Val Acc: 81.84% | Macro F1: 0.7543 | Prec: 0.7569 | Rec: 0.7639
    Epoch [13/20] | Train Loss: 0.1348 | Val Acc: 81.57% | Macro F1: 0.7549 | Prec: 0.7659 | Rec: 0.7490
    Epoch [14/20] | Train Loss: 0.1450 | Val Acc: 78.82% | Macro F1: 0.7358 | Prec: 0.7395 | Rec: 0.7506
    Epoch [15/20] | Train Loss: 0.1897 | Val Acc: 76.24% | Macro F1: 0.6910 | Prec: 0.7016 | Rec: 0.7196
    Epoch [16/20] | Train Loss: 0.0757 | Val Acc: 81.63% | Macro F1: 0.7618 | Prec: 0.7805 | Rec: 0.7527
    Epoch [17/20] | Train Loss: 0.0735 | Val Acc: 79.26% | Macro F1: 0.7372 | Prec: 0.7594 | Rec: 0.7243
    Epoch [18/20] | Train Loss: 0.0898 | Val Acc: 76.65% | Macro F1: 0.6994 | Prec: 0.6737 | Rec: 0.7530
    Epoch [19/20] | Train Loss: 0.1672 | Val Acc: 82.53% | Macro F1: 0.7776 | Prec: 0.7775 | Rec: 0.7816
    Epoch [20/20] | Train Loss: 0.0518 | Val Acc: 81.59% | Macro F1: 0.7630 | Prec: 0.7434 | Rec: 0.7864

[ISIC 2019] Baseline ViT + MLP (Run 4/5)
    Epoch [01/20] | Train Loss: 1.3039 | Val Acc: 61.18% | Macro F1: 0.4653 | Prec: 0.5417 | Rec: 0.5539
    Epoch [02/20] | Train Loss: 0.9237 | Val Acc: 71.96% | Macro F1: 0.6044 | Prec: 0.5887 | Rec: 0.6656
    Epoch [03/20] | Train Loss: 0.7677 | Val Acc: 63.02% | Macro F1: 0.5129 | Prec: 0.4928 | Rec: 0.6658
    Epoch [04/20] | Train Loss: 0.5749 | Val Acc: 73.95% | Macro F1: 0.6642 | Prec: 0.6366 | Rec: 0.7107
    Epoch [05/20] | Train Loss: 0.5121 | Val Acc: 70.69% | Macro F1: 0.6565 | Prec: 0.6232 | Rec: 0.7223
    Epoch [06/20] | Train Loss: 0.4091 | Val Acc: 72.71% | Macro F1: 0.6348 | Prec: 0.6134 | Rec: 0.7120
    Epoch [07/20] | Train Loss: 0.3013 | Val Acc: 79.75% | Macro F1: 0.7340 | Prec: 0.7417 | Rec: 0.7298
    Epoch [08/20] | Train Loss: 0.2622 | Val Acc: 79.02% | Macro F1: 0.7209 | Prec: 0.7145 | Rec: 0.7403
    Epoch [09/20] | Train Loss: 0.2671 | Val Acc: 73.85% | Macro F1: 0.6765 | Prec: 0.6754 | Rec: 0.7033
